names,ids
Morgan Freeman,name/nm0000151
Leonardo DiCaprio,name/nm0000138
Brad Pitt,name/nm0000093
Michael Caine,name/nm0000323
Robert De Niro,name/nm0000134
Matt Damon,name/nm0000354
Tom Hanks,name/nm0000158
Christian Bale,name/nm0000288
Gary Oldman,name/nm0000198
Al Pacino,name/nm0000199
Edward Norton,name/nm0001570
Harrison Ford,name/nm0000148
Johnny Depp,name/nm0000136
Cillian Murphy,name/nm0614165
Bruce Willis,name/nm0000246
Ralph Fiennes,name/nm0000146
Kevin Spacey,name/nm0000228
Jack Nicholson,name/nm0000197
Samuel L. Jackson,name/nm0000168
Robert Duvall,name/nm0000380
Philip Seymour Hoffman,name/nm0000450
Tom Hardy,name/nm0362766
Steve Buscemi,name/nm0000114
Mark Ruffalo,name/nm0749263
George Clooney,name/nm0000123
Liam Neeson,name/nm0000553
Tom Cruise,name/nm0000129
Hugo Weaving,name/nm0915989
Jude Law,name/nm0000179
Jake Gyllenhaal,name/nm0350453
Russell Crowe,name/nm0000128
Casey Affleck,name/nm0000729
Clint Eastwood,name/nm0000142
Harvey Keitel,name/nm0000172
Ryan Gosling,name/nm0331516
Tom Wilkinson,name/nm0929489
Woody Harrelson,name/nm0000437
Bradley Cooper,name/nm0177896
Denzel Washington,name/nm0000243
Tim Robbins,name/nm0000209
Ben Kingsley,name/nm0001426
Joseph Gordon-Levitt,name/nm0330687
John Hurt,name/nm0000457
John Cazale,name/nm0001030
John Carroll Lynch,name/nm0002253
Ed Harris,name/nm0000438
Ben Affleck,name/nm0000255
Matthew McConaughey,name/nm0000190
Christoph Waltz,name/nm0910607
Tim Roth,name/nm0000619
Bill Murray,name/nm0000195
Michael Fassbender,name/nm1055413
Pete Postlethwaite,name/nm0000592
Michael Madsen,name/nm0000514
Barry Pepper,name/nm0001608
Chiwetel Ejiofor,name/nm0252230
Alan Rickman,name/nm0000614
Heath Ledger,name/nm0005132
Jamie Foxx,name/nm0004937
Geoffrey Rush,name/nm0001691
Guy Pearce,name/nm0001602
Paul Giamatti,name/nm0316079
Orlando Bloom,name/nm0089217
Martin Sheen,name/nm0000640
John Goodman,name/nm0000422
Christopher Lloyd,name/nm0000502
Alec Baldwin,name/nm0000285
Dustin Hoffman,name/nm0000163
Mykelti Williamson,name/nm0932112
Joe Pesci,name/nm0000582
Ethan Hawke,name/nm0000160
Don Cheadle,name/nm0000332
Stellan Skarsgård,name/nm0001745
Joaquin Phoenix,name/nm0001618
Benicio Del Toro,name/nm0001125
Jeremy Renner,name/nm0719637
Stanley Tucci,name/nm0001804
Marlon Brando,name/nm0000008
Aaron Eckhart,name/nm0001173
Robert Downey Jr.,name/nm0000375
Zach Galifianakis,name/nm0302108
Kyle Chandler,name/nm0151419
Daniel Craig,name/nm0185819
Ken Watanabe,name/nm0913822
Owen Wilson,name/nm0005562
Max von Sydow,name/nm0001884
Mark Wahlberg,name/nm0000242
Adrien Brody,name/nm0004778
Jim Carrey,name/nm0000120
Robin Williams,name/nm0000245
John Travolta,name/nm0000237
Tom Sizemore,name/nm0001744
Elliott Gould,name/nm0001285
Richard Harris,name/nm0001321
Laurence Fishburne,name/nm0000401
Keanu Reeves,name/nm0000206
Ian Holm,name/nm0000453
Sean Connery,name/nm0000125
Ewan McGregor,name/nm0000191
Josh Brolin,name/nm0000982
