names,ids
Natalie Portman,name/nm0000204
Anne Hathaway,name/nm0004266
Talia Shire,name/nm0001735
Diane Keaton,name/nm0000473
Keira Knightley,name/nm0461136
Uma Thurman,name/nm0000235
Jennifer Lawrence,name/nm2225369
Julianne Moore,name/nm0000194
Amy Adams,name/nm0010736
Cate Blanchett,name/nm0000949
Marion Cotillard,name/nm0182839
Helena Bonham Carter,name/nm0000307
Jessica Chastain,name/nm1567113
Kate Winslet,name/nm0000701
Scarlett Johansson,name/nm0424060
Léa Seydoux,name/nm2244205
Robin Wright,name/nm0000705
Vera Farmiga,name/nm0267812
Tilda Swinton,name/nm0842770
Gwyneth Paltrow,name/nm0000569
Carrie-Anne Moss,name/nm0005251
Maggie Gyllenhaal,name/nm0350454
Jennifer Connelly,name/nm0000124
Judi Dench,name/nm0001132
Jodie Foster,name/nm0000149
Meryl Streep,name/nm0000658
Carrie Fisher,name/nm0000402
Amanda Plummer,name/nm0001625
Sigourney Weaver,name/nm0000244
Frances McDormand,name/nm0000531
Sandra Bullock,name/nm0000113
Rebecca Hall,name/nm0356017
Sally Field,name/nm0000398
Daryl Hannah,name/nm0000435
Juno Temple,name/nm1017334
Naomie Harris,name/nm0365140
Julia Roberts,name/nm0000210
Emily Mortimer,name/nm0607865
Naomi Watts,name/nm0915208
Nicole Kidman,name/nm0000173
Emma Stone,name/nm1297015
Jennifer Garner,name/nm0004950
Michelle Williams,name/nm0931329
Carey Mulligan,name/nm1659547
Mélanie Laurent,name/nm0491259
Melissa Leo,name/nm0502425
Kathy Bates,name/nm0000870
Rachel McAdams,name/nm1046097
Winona Ryder,name/nm0000213
Viola Davis,name/nm0205626
Toni Collette,name/nm0001057
Emma Watson,name/nm0914612
Patricia Clarkson,name/nm0165101
Rosanna Arquette,name/nm0000275
Ellen Page,name/nm0680983
Catherine Keener,name/nm0001416
Elle Fanning,name/nm1102577
Kerry Washington,name/nm0913488
Cameron Diaz,name/nm0000139
Diane Kruger,name/nm1208167
Kristen Wiig,name/nm1325419
Elizabeth Banks,name/nm0006969
Laura Linney,name/nm0001473
Annette Bening,name/nm0000906
Rooney Mara,name/nm1913734
Maggie Smith,name/nm0001749
Penélope Cruz,name/nm0827137
Olivia Williams,name/nm0931404
Lucy Liu,name/nm0005154
Vivica A. Fox,name/nm0000407
Katie Holmes,name/nm0005017
Kirsten Dunst,name/nm0000379
Michelle Monaghan,name/nm1157358
Kelly Macdonald,name/nm0531808
Liv Tyler,name/nm0000239
Jennifer Ehle,name/nm0000383
Lea Thompson,name/nm0000670
Jennifer Jason Leigh,name/nm0000492
Saoirse Ronan,name/nm1519680
Hilary Swank,name/nm0005476
Amy Ryan,name/nm0752407
Sarah Paulson,name/nm0005299
Ellen Burstyn,name/nm0000995
Catherine Zeta-Jones,name/nm0001876
Rosamund Pike,name/nm0683253
Marcia Gay Harden,name/nm0001315
Margot Robbie,name/nm3053338
Marisa Tomei,name/nm0000673
Adam Tomei,name/nm0866608
Franka Potente,name/nm0004376
Karen Allen,name/nm0000261
Frances Fisher,name/nm0004920
Isla Fisher,name/nm0279545
Allison Janney,name/nm0005049
Kristen Stewart,name/nm0829576
Beverly D'Angelo,name/nm0000350
Mary Steenburgen,name/nm0005460
Michelle Pfeiffer,name/nm0000201
Laura Dern,name/nm0000368
Charlize Theron,name/nm0000234
